case_id,cse_id,alert_id,created_at,investigation_started_at,closed_at,priority,investigation_summary,evidence_count,closure_reason,root_cause,remediation_status,reviewer_id
CSE-01-CASE-0017,CSE-01,CSE-01-ALT-0017,2026-08-10T21:10:00Z,2026-08-10T21:15:00Z,2026-08-10T21:50:00Z,Medium,"Investigated suspicious Data Exfiltration activity on CSE-01-AST-003. Host quarantine verified, memory strings analyzed, credentials rotated for user domain accounts. Incident mitigated cleanly.",3,Resolved by Standard Triage,Root vulnerability in service module on CSE-01-AST-003,Completed,LEAD-REV-01
CSE-01-CASE-0018,CSE-01,CSE-01-ALT-0018,2026-08-05T04:19:00Z,2026-08-05T04:29:00Z,2026-08-05T06:03:00Z,High,"Investigated suspicious Denial of Service activity on CSE-01-AST-004. Host quarantine verified, memory strings analyzed, credentials rotated for user domain accounts. Incident mitigated cleanly.",3,Resolved by Standard Triage,Root vulnerability in service module on CSE-01-AST-004,Completed,LEAD-REV-01
CSE-01-CASE-0019,CSE-01,CSE-01-ALT-0019,2026-08-25T13:34:00Z,2026-08-25T13:35:00Z,2026-08-25T15:21:00Z,Medium,"Investigated suspicious Denial of Service activity on CSE-01-AST-005. Host quarantine verified, memory strings analyzed, credentials rotated for user domain accounts. Incident mitigated cleanly.",4,Resolved by Standard Triage,Root vulnerability in service module on CSE-01-AST-005,Completed,LEAD-REV-01
CSE-01-CASE-0020,CSE-01,CSE-01-ALT-0020,2026-08-01T11:59:00Z,2026-08-01T12:03:00Z,2026-08-01T13:18:00Z,Critical,"Investigated suspicious Lateral Movement activity on CSE-01-AST-001. Host quarantine verified, memory strings analyzed, credentials rotated for user domain accounts. Incident mitigated cleanly.",3,Resolved by Standard Triage,Root vulnerability in service module on CSE-01-AST-001,Completed,LEAD-REV-01
CSE-01-CASE-0021,CSE-01,CSE-01-ALT-0021,2026-08-03T10:46:00Z,2026-08-03T10:55:00Z,2026-08-03T11:34:00Z,High,"Investigated suspicious Data Exfiltration activity on CSE-01-AST-002. Host quarantine verified, memory strings analyzed, credentials rotated for user domain accounts. Incident mitigated cleanly.",3,Resolved by Standard Triage,Root vulnerability in service module on CSE-01-AST-002,Completed,LEAD-REV-01
CSE-01-CASE-0022,CSE-01,CSE-01-ALT-0022,2026-08-17T01:10:00Z,2026-08-17T01:20:00Z,2026-08-17T02:57:00Z,Medium,"Investigated suspicious Lateral Movement activity on CSE-01-AST-003. Host quarantine verified, memory strings analyzed, credentials rotated for user domain accounts. Incident mitigated cleanly.",3,Resolved by Standard Triage,Root vulnerability in service module on CSE-01-AST-003,Completed,LEAD-REV-01
CSE-01-CASE-0023,CSE-01,CSE-01-ALT-0023,2026-08-26T07:44:00Z,2026-08-26T07:51:00Z,2026-08-26T09:03:00Z,Medium,"Investigated suspicious Identity/Credential Access activity on CSE-01-AST-004. Host quarantine verified, memory strings analyzed, credentials rotated for user domain accounts. Incident mitigated cleanly.",4,Resolved by Standard Triage,Root vulnerability in service module on CSE-01-AST-004,Completed,LEAD-REV-01
CSE-01-CASE-0024,CSE-01,CSE-01-ALT-0024,2026-08-30T00:28:00Z,2026-08-30T00:32:00Z,2026-08-30T01:39:00Z,High,"Investigated suspicious Malware activity on CSE-01-AST-005. Host quarantine verified, memory strings analyzed, credentials rotated for user domain accounts. Incident mitigated cleanly.",4,Resolved by Standard Triage,Root vulnerability in service module on CSE-01-AST-005,Completed,LEAD-REV-01
CSE-01-CASE-0025,CSE-01,CSE-01-ALT-0025,2026-08-20T01:14:00Z,2026-08-20T01:15:00Z,2026-08-20T02:22:00Z,Critical,"Investigated suspicious Privilege Escalation activity on CSE-01-AST-001. Host quarantine verified, memory strings analyzed, credentials rotated for user domain accounts. Incident mitigated cleanly.",2,Resolved by Standard Triage,Root vulnerability in service module on CSE-01-AST-001,Completed,LEAD-REV-01
CSE-01-CASE-0026,CSE-01,CSE-01-ALT-0026,2026-08-03T09:55:00Z,2026-08-03T10:04:00Z,2026-08-03T10:44:00Z,Medium,"Investigated suspicious Lateral Movement activity on CSE-01-AST-002. Host quarantine verified, memory strings analyzed, credentials rotated for user domain accounts. Incident mitigated cleanly.",4,Resolved by Standard Triage,Root vulnerability in service module on CSE-01-AST-002,Completed,LEAD-REV-01
CSE-01-CASE-0027,CSE-01,CSE-01-ALT-0027,2026-08-16T14:34:00Z,2026-08-16T14:44:00Z,2026-08-16T16:27:00Z,High,"Investigated suspicious Identity/Credential Access activity on CSE-01-AST-003. Host quarantine verified, memory strings analyzed, credentials rotated for user domain accounts. Incident mitigated cleanly.",3,Resolved by Standard Triage,Root vulnerability in service module on CSE-01-AST-003,Completed,LEAD-REV-01
CSE-01-CASE-0028,CSE-01,CSE-01-ALT-0028,2026-08-26T21:12:00Z,2026-08-26T21:19:00Z,2026-08-26T22:04:00Z,Medium,"Investigated suspicious Malware activity on CSE-01-AST-004. Host quarantine verified, memory strings analyzed, credentials rotated for user domain accounts. Incident mitigated cleanly.",5,Resolved by Standard Triage,Root vulnerability in service module on CSE-01-AST-004,Completed,LEAD-REV-01
CSE-01-CASE-0029,CSE-01,CSE-01-ALT-0029,2026-08-16T07:03:00Z,2026-08-16T07:04:00Z,2026-08-16T07:55:00Z,Medium,"Investigated suspicious Reconnaissance activity on CSE-01-AST-005. Host quarantine verified, memory strings analyzed, credentials rotated for user domain accounts. Incident mitigated cleanly.",4,Resolved by Standard Triage,Root vulnerability in service module on CSE-01-AST-005,Completed,LEAD-REV-01
CSE-01-CASE-0030,CSE-01,CSE-01-ALT-0030,2026-08-08T14:12:00Z,2026-08-08T14:15:00Z,2026-08-08T15:49:00Z,Critical,"Investigated suspicious Privilege Escalation activity on CSE-01-AST-001. Host quarantine verified, memory strings analyzed, credentials rotated for user domain accounts. Incident mitigated cleanly.",3,Resolved by Standard Triage,Root vulnerability in service module on CSE-01-AST-001,Completed,LEAD-REV-01
CSE-01-CASE-0031,CSE-01,CSE-01-ALT-0031,2026-08-15T15:55:00Z,2026-08-15T16:04:00Z,2026-08-15T17:31:00Z,Medium,"Investigated suspicious Malware activity on CSE-01-AST-002. Host quarantine verified, memory strings analyzed, credentials rotated for user domain accounts. Incident mitigated cleanly.",2,Resolved by Standard Triage,Root vulnerability in service module on CSE-01-AST-002,Completed,LEAD-REV-01
CSE-01-CASE-0032,CSE-01,CSE-01-ALT-0032,2026-08-18T08:05:00Z,2026-08-18T08:08:00Z,2026-08-18T09:15:00Z,Medium,"Investigated suspicious Denial of Service activity on CSE-01-AST-003. Host quarantine verified, memory strings analyzed, credentials rotated for user domain accounts. Incident mitigated cleanly.",5,Resolved by Standard Triage,Root vulnerability in service module on CSE-01-AST-003,Completed,LEAD-REV-01
CSE-01-CASE-0033,CSE-01,CSE-01-ALT-0033,2026-08-07T20:57:00Z,2026-08-07T21:04:00Z,2026-08-07T21:58:00Z,High,"Investigated suspicious Malware activity on CSE-01-AST-004. Host quarantine verified, memory strings analyzed, credentials rotated for user domain accounts. Incident mitigated cleanly.",5,Resolved by Standard Triage,Root vulnerability in service module on CSE-01-AST-004,Completed,LEAD-REV-01
CSE-01-CASE-0034,CSE-01,CSE-01-ALT-0034,2026-08-26T22:18:00Z,2026-08-26T22:26:00Z,2026-08-27T00:09:00Z,Medium,"Investigated suspicious Data Exfiltration activity on CSE-01-AST-005. Host quarantine verified, memory strings analyzed, credentials rotated for user domain accounts. Incident mitigated cleanly.",3,Resolved by Standard Triage,Root vulnerability in service module on CSE-01-AST-005,Completed,LEAD-REV-01
CSE-01-CASE-0035,CSE-01,CSE-01-ALT-0035,2026-08-07T09:37:00Z,2026-08-07T09:38:00Z,2026-08-07T11:26:00Z,Critical,"Investigated suspicious Reconnaissance activity on CSE-01-AST-001. Host quarantine verified, memory strings analyzed, credentials rotated for user domain accounts. Incident mitigated cleanly.",4,Resolved by Standard Triage,Root vulnerability in service module on CSE-01-AST-001,Completed,LEAD-REV-01
CSE-01-CASE-0036,CSE-01,CSE-01-ALT-0036,2026-08-03T02:30:00Z,2026-08-03T02:33:00Z,2026-08-03T04:17:00Z,High,"Investigated suspicious Privilege Escalation activity on CSE-01-AST-002. Host quarantine verified, memory strings analyzed, credentials rotated for user domain accounts. Incident mitigated cleanly.",2,Resolved by Standard Triage,Root vulnerability in service module on CSE-01-AST-002,Completed,LEAD-REV-01
CSE-01-CASE-0037,CSE-01,CSE-01-ALT-0037,2026-08-04T03:04:00Z,2026-08-04T03:11:00Z,2026-08-04T04:14:00Z,Medium,"Investigated suspicious Reconnaissance activity on CSE-01-AST-003. Host quarantine verified, memory strings analyzed, credentials rotated for user domain accounts. Incident mitigated cleanly.",3,Resolved by Standard Triage,Root vulnerability in service module on CSE-01-AST-003,Completed,LEAD-REV-01
CSE-01-CASE-0038,CSE-01,CSE-01-ALT-0038,2026-08-20T09:39:00Z,2026-08-20T09:49:00Z,2026-08-20T11:12:00Z,Medium,"Investigated suspicious Malware activity on CSE-01-AST-004. Host quarantine verified, memory strings analyzed, credentials rotated for user domain accounts. Incident mitigated cleanly.",4,Resolved by Standard Triage,Root vulnerability in service module on CSE-01-AST-004,Completed,LEAD-REV-01
CSE-01-CASE-0039,CSE-01,CSE-01-ALT-0039,2026-08-08T05:45:00Z,2026-08-08T05:50:00Z,2026-08-08T06:55:00Z,High,"Investigated suspicious Lateral Movement activity on CSE-01-AST-005. Host quarantine verified, memory strings analyzed, credentials rotated for user domain accounts. Incident mitigated cleanly.",3,Resolved by Standard Triage,Root vulnerability in service module on CSE-01-AST-005,Completed,LEAD-REV-01
CSE-01-CASE-0040,CSE-01,CSE-01-ALT-0040,2026-08-21T17:29:00Z,2026-08-21T17:30:00Z,2026-08-21T18:18:00Z,Critical,"Investigated suspicious Lateral Movement activity on CSE-01-AST-001. Host quarantine verified, memory strings analyzed, credentials rotated for user domain accounts. Incident mitigated cleanly.",2,Resolved by Standard Triage,Root vulnerability in service module on CSE-01-AST-001,Completed,LEAD-REV-01
CSE-01-CASE-0041,CSE-01,CSE-01-ALT-0041,2026-08-18T14:32:00Z,2026-08-18T14:38:00Z,2026-08-18T15:28:00Z,Medium,"Investigated suspicious Lateral Movement activity on CSE-01-AST-002. Host quarantine verified, memory strings analyzed, credentials rotated for user domain accounts. Incident mitigated cleanly.",3,Resolved by Standard Triage,Root vulnerability in service module on CSE-01-AST-002,Completed,LEAD-REV-01
CSE-01-CASE-0042,CSE-01,CSE-01-ALT-0042,2026-08-10T13:28:00Z,2026-08-10T13:33:00Z,2026-08-10T15:17:00Z,High,"Investigated suspicious Denial of Service activity on CSE-01-AST-003. Host quarantine verified, memory strings analyzed, credentials rotated for user domain accounts. Incident mitigated cleanly.",2,Resolved by Standard Triage,Root vulnerability in service module on CSE-01-AST-003,Completed,LEAD-REV-01
CSE-01-CASE-0043,CSE-01,CSE-01-ALT-0043,2026-08-28T01:19:00Z,2026-08-28T01:22:00Z,2026-08-28T02:12:00Z,Medium,"Investigated suspicious Reconnaissance activity on CSE-01-AST-004. Host quarantine verified, memory strings analyzed, credentials rotated for user domain accounts. Incident mitigated cleanly.",2,Resolved by Standard Triage,Root vulnerability in service module on CSE-01-AST-004,Completed,LEAD-REV-01
CSE-01-CASE-0044,CSE-01,CSE-01-ALT-0044,2026-08-25T01:09:00Z,2026-08-25T01:19:00Z,2026-08-25T02:25:00Z,Medium,"Investigated suspicious Lateral Movement activity on CSE-01-AST-005. Host quarantine verified, memory strings analyzed, credentials rotated for user domain accounts. Incident mitigated cleanly.",4,Resolved by Standard Triage,Root vulnerability in service module on CSE-01-AST-005,Completed,LEAD-REV-01
CSE-01-CASE-0045,CSE-01,CSE-01-ALT-0045,2026-08-23T04:54:00Z,2026-08-23T05:02:00Z,2026-08-23T06:38:00Z,Critical,"Investigated suspicious Lateral Movement activity on CSE-01-AST-001. Host quarantine verified, memory strings analyzed, credentials rotated for user domain accounts. Incident mitigated cleanly.",2,Resolved by Standard Triage,Root vulnerability in service module on CSE-01-AST-001,Completed,LEAD-REV-01
CSE-01-CASE-0046,CSE-01,CSE-01-ALT-0046,2026-08-21T21:53:00Z,2026-08-21T21:54:00Z,2026-08-21T22:38:00Z,Medium,"Investigated suspicious Lateral Movement activity on CSE-01-AST-002. Host quarantine verified, memory strings analyzed, credentials rotated for user domain accounts. Incident mitigated cleanly.",3,Resolved by Standard Triage,Root vulnerability in service module on CSE-01-AST-002,Completed,LEAD-REV-01
CSE-01-CASE-0047,CSE-01,CSE-01-ALT-0047,2026-08-09T13:47:00Z,2026-08-09T13:54:00Z,2026-08-09T15:37:00Z,Medium,"Investigated suspicious Data Exfiltration activity on CSE-01-AST-003. Host quarantine verified, memory strings analyzed, credentials rotated for user domain accounts. Incident mitigated cleanly.",2,Resolved by Standard Triage,Root vulnerability in service module on CSE-01-AST-003,Completed,LEAD-REV-01
CSE-01-CASE-0048,CSE-01,CSE-01-ALT-0048,2026-08-04T06:57:00Z,2026-08-04T06:58:00Z,2026-08-04T08:46:00Z,High,"Investigated suspicious Identity/Credential Access activity on CSE-01-AST-004. Host quarantine verified, memory strings analyzed, credentials rotated for user domain accounts. Incident mitigated cleanly.",3,Resolved by Standard Triage,Root vulnerability in service module on CSE-01-AST-004,Completed,LEAD-REV-01
CSE-01-CASE-0049,CSE-01,CSE-01-ALT-0049,2026-08-05T09:19:00Z,2026-08-05T09:25:00Z,2026-08-05T10:04:00Z,Medium,"Investigated suspicious Lateral Movement activity on CSE-01-AST-005. Host quarantine verified, memory strings analyzed, credentials rotated for user domain accounts. Incident mitigated cleanly.",3,Resolved by Standard Triage,Root vulnerability in service module on CSE-01-AST-005,Completed,LEAD-REV-01
CSE-01-CASE-0050,CSE-01,CSE-01-ALT-0050,2026-08-04T19:49:00Z,2026-08-04T19:59:00Z,2026-08-04T21:21:00Z,Critical,"Investigated suspicious Privilege Escalation activity on CSE-01-AST-001. Host quarantine verified, memory strings analyzed, credentials rotated for user domain accounts. Incident mitigated cleanly.",3,Resolved by Standard Triage,Root vulnerability in service module on CSE-01-AST-001,Completed,LEAD-REV-01
CSE-01-CASE-0051,CSE-01,CSE-01-ALT-0051,2026-08-28T13:51:00Z,2026-08-28T13:58:00Z,2026-08-28T14:53:00Z,High,"Investigated suspicious Denial of Service activity on CSE-01-AST-002. Host quarantine verified, memory strings analyzed, credentials rotated for user domain accounts. Incident mitigated cleanly.",3,Resolved by Standard Triage,Root vulnerability in service module on CSE-01-AST-002,Completed,LEAD-REV-01
CSE-01-CASE-0052,CSE-01,CSE-01-ALT-0052,2026-08-11T21:51:00Z,2026-08-11T21:56:00Z,2026-08-11T23:02:00Z,Medium,"Investigated suspicious Reconnaissance activity on CSE-01-AST-003. Host quarantine verified, memory strings analyzed, credentials rotated for user domain accounts. Incident mitigated cleanly.",2,Resolved by Standard Triage,Root vulnerability in service module on CSE-01-AST-003,Completed,LEAD-REV-01
CSE-01-CASE-0053,CSE-01,CSE-01-ALT-0053,2026-08-28T09:54:00Z,2026-08-28T09:58:00Z,2026-08-28T11:02:00Z,Medium,"Investigated suspicious Data Exfiltration activity on CSE-01-AST-004. Host quarantine verified, memory strings analyzed, credentials rotated for user domain accounts. Incident mitigated cleanly.",4,Resolved by Standard Triage,Root vulnerability in service module on CSE-01-AST-004,Completed,LEAD-REV-01
CSE-01-CASE-0054,CSE-01,CSE-01-ALT-0054,2026-08-27T15:14:00Z,2026-08-27T15:21:00Z,2026-08-27T16:18:00Z,High,"Investigated suspicious Malware activity on CSE-01-AST-005. Host quarantine verified, memory strings analyzed, credentials rotated for user domain accounts. Incident mitigated cleanly.",4,Resolved by Standard Triage,Root vulnerability in service module on CSE-01-AST-005,Completed,LEAD-REV-01
CSE-01-CASE-0055,CSE-01,CSE-01-ALT-0055,2026-08-25T16:22:00Z,2026-08-25T16:29:00Z,2026-08-25T18:07:00Z,Critical,"Investigated suspicious Reconnaissance activity on CSE-01-AST-001. Host quarantine verified, memory strings analyzed, credentials rotated for user domain accounts. Incident mitigated cleanly.",4,Resolved by Standard Triage,Root vulnerability in service module on CSE-01-AST-001,Completed,LEAD-REV-01
CSE-01-CASE-0056,CSE-01,CSE-01-ALT-0056,2026-08-04T16:11:00Z,2026-08-04T16:12:00Z,2026-08-04T17:24:00Z,Medium,"Investigated suspicious Privilege Escalation activity on CSE-01-AST-002. Host quarantine verified, memory strings analyzed, credentials rotated for user domain accounts. Incident mitigated cleanly.",5,Resolved by Standard Triage,Root vulnerability in service module on CSE-01-AST-002,Completed,LEAD-REV-01
CSE-01-CASE-0057,CSE-01,CSE-01-ALT-0057,2026-08-24T18:27:00Z,2026-08-24T18:29:00Z,2026-08-24T20:12:00Z,High,"Investigated suspicious Privilege Escalation activity on CSE-01-AST-003. Host quarantine verified, memory strings analyzed, credentials rotated for user domain accounts. Incident mitigated cleanly.",3,Resolved by Standard Triage,Root vulnerability in service module on CSE-01-AST-003,Completed,LEAD-REV-01
CSE-01-CASE-0058,CSE-01,CSE-01-ALT-0058,2026-08-03T06:27:00Z,2026-08-03T06:36:00Z,2026-08-03T08:13:00Z,Medium,"Investigated suspicious Malware activity on CSE-01-AST-004. Host quarantine verified, memory strings analyzed, credentials rotated for user domain accounts. Incident mitigated cleanly.",3,Resolved by Standard Triage,Root vulnerability in service module on CSE-01-AST-004,Completed,LEAD-REV-01
CSE-01-CASE-0059,CSE-01,CSE-01-ALT-0059,2026-08-14T10:42:00Z,2026-08-14T10:48:00Z,2026-08-14T12:41:00Z,Medium,"Investigated suspicious Lateral Movement activity on CSE-01-AST-005. Host quarantine verified, memory strings analyzed, credentials rotated for user domain accounts. Incident mitigated cleanly.",2,Resolved by Standard Triage,Root vulnerability in service module on CSE-01-AST-005,Completed,LEAD-REV-01
CSE-01-CASE-0060,CSE-01,CSE-01-ALT-0060,2026-08-29T17:32:00Z,2026-08-29T17:38:00Z,2026-08-29T19:04:00Z,Critical,"Investigated suspicious Lateral Movement activity on CSE-01-AST-001. Host quarantine verified, memory strings analyzed, credentials rotated for user domain accounts. Incident mitigated cleanly.",4,Resolved by Standard Triage,Root vulnerability in service module on CSE-01-AST-001,Completed,LEAD-REV-01
CSE-02-CASE-0001,CSE-02,CSE-02-ALT-0001,2026-08-22T17:14:00Z,2026-08-22T17:17:00Z,2026-08-22T18:19:00Z,Medium,"Investigated suspicious Denial of Service activity on CSE-02-AST-002. Host quarantine verified, memory strings analyzed, credentials rotated for user domain accounts. Incident mitigated cleanly.",2,Resolved by Standard Triage,Root vulnerability in service module on CSE-02-AST-002,Completed,LEAD-REV-01
CSE-02-CASE-0002,CSE-02,CSE-02-ALT-0002,2026-08-17T03:54:00Z,2026-08-17T04:02:00Z,2026-08-17T04:43:00Z,Medium,"Investigated suspicious Denial of Service activity on CSE-02-AST-003. Host quarantine verified, memory strings analyzed, credentials rotated for user domain accounts. Incident mitigated cleanly.",3,Resolved by Standard Triage,Root vulnerability in service module on CSE-02-AST-003,Completed,LEAD-REV-01
CSE-02-CASE-0003,CSE-02,CSE-02-ALT-0003,2026-08-23T20:31:00Z,2026-08-23T20:34:00Z,2026-08-23T21:42:00Z,High,"Investigated suspicious Data Exfiltration activity on CSE-02-AST-004. Host quarantine verified, memory strings analyzed, credentials rotated for user domain accounts. Incident mitigated cleanly.",2,Resolved by Standard Triage,Root vulnerability in service module on CSE-02-AST-004,Completed,LEAD-REV-01
CSE-02-CASE-0004,CSE-02,CSE-02-ALT-0004,2026-08-25T21:14:00Z,2026-08-25T21:22:00Z,2026-08-25T23:00:00Z,Medium,"Investigated suspicious Identity/Credential Access activity on CSE-02-AST-005. Host quarantine verified, memory strings analyzed, credentials rotated for user domain accounts. Incident mitigated cleanly.",3,Resolved by Standard Triage,Root vulnerability in service module on CSE-02-AST-005,Completed,LEAD-REV-01
CSE-02-CASE-0005,CSE-02,CSE-02-ALT-0005,2026-08-15T12:51:00Z,2026-08-15T13:00:00Z,2026-08-15T14:38:00Z,Critical,"Investigated suspicious Data Exfiltration activity on CSE-02-AST-001. Host quarantine verified, memory strings analyzed, credentials rotated for user domain accounts. Incident mitigated cleanly.",4,Resolved by Standard Triage,Root vulnerability in service module on CSE-02-AST-001,Completed,LEAD-REV-01
CSE-02-CASE-0006,CSE-02,CSE-02-ALT-0006,2026-08-21T07:57:00Z,2026-08-21T08:06:00Z,2026-08-21T09:31:00Z,High,"Investigated suspicious Privilege Escalation activity on CSE-02-AST-002. Host quarantine verified, memory strings analyzed, credentials rotated for user domain accounts. Incident mitigated cleanly.",3,Resolved by Standard Triage,Root vulnerability in service module on CSE-02-AST-002,Completed,LEAD-REV-01
CSE-02-CASE-0007,CSE-02,CSE-02-ALT-0007,2026-08-28T23:28:00Z,2026-08-28T23:33:00Z,2026-08-29T00:39:00Z,Medium,"Investigated suspicious Lateral Movement activity on CSE-02-AST-003. Host quarantine verified, memory strings analyzed, credentials rotated for user domain accounts. Incident mitigated cleanly.",5,Resolved by Standard Triage,Root vulnerability in service module on CSE-02-AST-003,Completed,LEAD-REV-01
